Cartella,File,Phi_Value,Kuramoto_r,Delta_Invariante,Inferred_State
AUTO_SYSTEM,umath-validation-set-exp.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-exp2_496.csv,6.93e-01,6442.0898,6441.2398,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-exp2.csv,6.93e-01,6803.4149,6802.5649,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-expm1_684.csv,1.10e+00,6498.1326,6497.2826,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-expm1.csv,1.10e+00,6714.3056,6713.4556,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-log_906.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-log_1007.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-log.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-log1p_479.csv,6.93e-01,6648.8465,6647.9965,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-log1p_658.csv,6.93e-01,6678.6465,6677.7965,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-log1p_893.csv,6.93e-01,6812.6894,6811.8394,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-log1p.csv,6.93e-01,6856.2462,6855.3962,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-log2_961.csv,1.10e+00,6949.1271,6948.2771,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-log2_1047.csv,1.10e+00,6956.3996,6955.5496,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-log2.csv,1.10e+00,6765.8715,6765.0215,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-sin_757.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-sin_835.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-sin.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,umath-validation-set-sinh_1020.csv,6.93e-01,6821.124,6820.274,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-sinh.csv,6.93e-01,6866.1467,6865.2967,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-tan_798.csv,1.39e+00,6805.9898,6805.1398,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-tan_1008.csv,1.39e+00,6482.9998,6482.1498,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-tan.csv,1.39e+00,6361.8522,6361.0022,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,umath-validation-set-tanh.csv,0.00e+00,25468.8576,25468.0076,FASE CRITICA (Rischio Collasso)
AUTO_SYSTEM,wine_data_283.csv,8.14e+02,0.0009,0.8491,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,wine_data.csv,8.14e+02,0.0009,0.8491,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,y_arma_data_991.csv,2.38e+02,0.071,0.779,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,y_arma_data.csv,2.38e+02,0.071,0.779,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,yhat_css_c_770.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,yhat_css_c.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,yhat_css_nc_403.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,yhat_css_nc.csv,nan,,,FLUSSO DINAMICO (Healthy)
AUTO_SYSTEM,yhat_exact_c_999.csv,2.36e+02,0.0722,0.7778,FLUSSO DINAMICO (Healthy)
